Order_ID,Store,Category,Sub_Category,City,Region,Season,Units_Sold,Unit_Price,Cost_Price,Marketing_Spend,Discount_Pct,Is_Holiday,Store_Size_sqft,Staff_Count,Customer_Rating,Revenue,Profit,Profit_Margin,Revenue_K
ORD-00011,Store_Delta,Home & Garden,Furniture,Hyderabad,South,Summer,41,507.33,1082.59,3538.96,10,1,5000,43,3.4,32847.24,-11538.95,-35.13,32.85
ORD-00012,Store_Gamma,Grocery,Packaged,Delhi,North,Summer,40,2554.96,741.67,4096.52,25,0,2000,15,2.5,87827.49,58160.69,66.22,87.83
ORD-00013,Store_Delta,Toys,Action,Kolkata,East,Festive,42,715.58,912.1,3704.98,0,0,3500,19,4.1,31551.58,-6756.62,-21.41,31.55
ORD-00014,Store_Epsilon,Sports,Cricket,Delhi,North,Winter,43,1614.59,762.16,4878.1,5,0,1000,6,4.4,79945.96,47173.08,59.01,79.95
ORD-00015,Store_Gamma,Clothing,Men,Ahmedabad,West,Festive,45,265.08,893.8,4883.16,15,0,8000,41,4.1,24758.56,-15462.44,-62.45,24.76
ORD-00016,Store_Alpha,Home & Garden,Tools,Kolkata,East,Monsoon,44,2051.36,1094.85,2633.52,25,0,5000,47,3.4,66294.93,18121.53,27.33,66.29
ORD-00017,Store_Delta,Toys,Board Games,Hyderabad,South,Winter,56,1409.42,57.19,3238.79,25,0,8000,36,3.1,52717.9,49515.26,93.92,52.72
ORD-00018,Store_Epsilon,Toys,Educational,Mumbai,West,Monsoon,49,1364.39,1256.41,2404.16,5,0,1000,44,4.1,71769.58,10205.49,14.22,71.77
ORD-00019,Store_Alpha,Clothing,Accessories,Hyderabad,South,Festive,41,1448.3,727.14,1773.52,5,0,3500,17,3.9,46484.79,16672.05,35.87,46.48
ORD-00020,Store_Alpha,Home & Garden,Plants,Hyderabad,South,Winter,56,1514.4,1450.83,1843.87,15,0,3500,47,3.7,76067.37,-5179.11,-6.81,76.07
ORD-00021,Store_Alpha,Sports,Cricket,Delhi,North,Monsoon,34,1685.44,616.22,3860.43,20,0,3500,21,4.9,48056.65,27105.17,56.4,48.06
ORD-00022,Store_Alpha,Electronics,Cameras,Delhi,North,Festive,35,840.54,527.36,3363.47,25,0,3500,19,3.2,36858.7,18401.1,49.92,36.86
ORD-00023,Store_Gamma,Home & Garden,Tools,Hyderabad,South,Festive,46,805.45,740.66,4067.95,0,0,5000,37,4.9,40009.87,5939.51,14.85,40.01
ORD-00024,Store_Gamma,Clothing,Men,Hyderabad,South,Winter,42,1229.53,999.99,6037.95,10,0,5000,20,3.8,64391.34,22391.76,34.77,64.39
ORD-00025,Store_Gamma,Toys,Action,Hyderabad,South,Festive,40,1610.66,690.26,3599.84,5,1,2000,17,2.7,77792.43,50182.03,64.51,77.79
ORD-00026,Store_Epsilon,Sports,Cricket,Delhi,North,Summer,40,1160.01,1029.01,2054.5,5,1,2000,26,3.7,66182.15,25021.75,37.81,66.18
ORD-00027,Store_Epsilon,Home & Garden,Furniture,Hyderabad,South,Monsoon,36,1664.34,645.15,4242.15,10,0,1000,27,4.4,76770.57,53545.17,69.75,76.77
ORD-00028,Store_Epsilon,Electronics,Laptops,Hyderabad,South,Monsoon,41,1570.7,813.96,2032.19,0,0,2000,40,3.6,58902.61,25530.25,43.34,58.9
ORD-00029,Store_Beta,Electronics,Cameras,Ahmedabad,West,Festive,52,1069.81,1694.62,5098.0,5,0,1000,47,2.9,62831.9,-25288.34,-40.25,62.83
ORD-00030,Store_Epsilon,Grocery,Packaged,Chennai,South,Festive,41,151.69,942.91,634.26,10,0,1000,14,3.7,28539.01,-10120.3,-35.46,28.54
ORD-00031,Store_Gamma,Grocery,Beverages,Mumbai,West,Summer,41,897.88,975.0,2344.14,30,0,1000,21,3.3,29818.08,-10156.92,-34.06,29.82
ORD-00032,Store_Gamma,Clothing,Men,Bangalore,South,Winter,38,2245.68,210.97,3746.57,5,0,3500,34,4.1,87183.21,79166.35,90.8,87.18
ORD-00033,Store_Beta,Home & Garden,Decor,Mumbai,West,Festive,43,1404.04,1341.72,4413.03,20,0,8000,17,4.3,61226.51,3532.55,5.77,61.23
ORD-00034,Store_Beta,Home & Garden,Furniture,Chennai,South,Festive,47,816.27,1226.59,2187.62,20,0,8000,34,3.2,34301.83,-23347.9,-68.07,34.3
ORD-00035,Store_Epsilon,Toys,Board Games,Bangalore,South,Festive,38,1350.39,514.22,1970.09,5,0,5000,34,3.4,38046.41,18506.05,48.64,38.05
ORD-00036,Store_Delta,Toys,Puzzles,Kolkata,East,Festive,51,1605.99,1218.69,3178.04,30,1,1000,11,4.3,85492.66,23339.47,27.3,85.49
ORD-00037,Store_Beta,Toys,Puzzles,Hyderabad,South,Monsoon,46,816.56,931.92,5290.79,5,0,3500,14,3.3,27596.27,-15272.05,-55.34,27.6
ORD-00038,Store_Alpha,Grocery,Packaged,Chennai,South,Festive,42,1941.23,818.57,1153.95,20,0,2000,39,3.2,63621.92,29241.98,45.96,63.62
ORD-00039,Store_Gamma,Home & Garden,Furniture,Ahmedabad,West,Monsoon,43,1497.42,1316.38,2623.06,30,1,2000,6,3.1,69934.42,13330.08,19.06,69.93
ORD-00040,Store_Alpha,Home & Garden,Furniture,Kolkata,East,Festive,41,540.05,595.08,3312.22,5,1,5000,34,4.0,28409.67,4011.39,14.12,28.41
ORD-00041,Store_Gamma,Electronics,Laptops,Hyderabad,South,Winter,40,1713.82,511.06,2044.86,30,1,5000,23,4.0,57501.42,37059.02,64.45,57.5
ORD-00042,Store_Gamma,Grocery,Dairy,Delhi,North,Summer,46,954.23,883.03,2040.74,0,0,1000,43,3.4,53989.8,13370.42,24.76,53.99
ORD-00043,Store_Beta,Sports,Football,Pune,West,Winter,48,1092.52,1011.29,2719.93,0,0,1000,41,3.8,49711.94,1170.02,2.35,49.71
ORD-00044,Store_Beta,Grocery,Packaged,Chennai,South,Festive,54,590.42,1186.53,3351.25,15,1,2000,7,4.7,29124.42,-34948.2,-120.0,29.12
ORD-00045,Store_Alpha,Sports,Football,Delhi,North,Festive,39,1578.87,739.62,2765.93,0,0,2000,29,3.2,67920.94,39075.76,57.53,67.92
ORD-00046,Store_Gamma,Electronics,Tablets,Chennai,South,Festive,48,1110.68,460.09,4758.68,25,1,2000,38,2.6,55655.23,33570.91,60.32,55.66
ORD-00047,Store_Alpha,Clothing,Men,Ahmedabad,West,Winter,31,1604.25,1811.43,3711.12,30,0,2000,26,4.1,30429.52,-25724.81,-84.54,30.43
ORD-00048,Store_Delta,Home & Garden,Tools,Chennai,South,Festive,43,869.41,365.36,3459.8,25,0,8000,42,3.7,38323.79,22613.31,59.01,38.32
ORD-00049,Store_Alpha,Electronics,Laptops,Delhi,North,Winter,56,800.76,822.05,4233.18,25,1,1000,18,3.4,52105.57,6070.77,11.65,52.11
ORD-00050,Store_Epsilon,Home & Garden,Furniture,Ahmedabad,West,Monsoon,45,752.14,1111.88,3480.96,5,0,1000,43,4.2,34497.38,-15537.22,-45.04,34.5
ORD-00051,Store_Alpha,Toys,Educational,Bangalore,South,Summer,58,1437.62,1260.45,2468.18,5,0,2000,6,4.3,80584.48,7478.38,9.28,80.58
ORD-00052,Store_Epsilon,Clothing,Women,Mumbai,West,Summer,52,791.79,573.14,2684.22,10,0,3500,36,2.5,44845.24,15041.96,33.54,44.85
ORD-00053,Store_Epsilon,Clothing,Kids,Hyderabad,South,Winter,43,1078.13,50.03,1644.68,30,0,2000,47,3.4,44441.62,42290.33,95.16,44.44
ORD-00054,Store_Epsilon,Electronics,Laptops,Chennai,South,Monsoon,54,888.94,563.89,5405.85,25,0,5000,7,5.0,41848.5,11398.44,27.24,41.85
ORD-00055,Store_Delta,Clothing,Kids,Hyderabad,South,Winter,37,1464.05,1144.53,4116.87,25,0,3500,45,4.2,52040.2,9692.59,18.63,52.04
ORD-00056,Store_Alpha,Sports,Fitness,Pune,West,Monsoon,31,158.82,1055.0,0.0,0,0,5000,12,4.2,9445.02,-23259.98,-246.27,9.45
ORD-00057,Store_Alpha,Clothing,Kids,Delhi,North,Festive,48,1348.22,1068.05,4599.75,20,1,3500,30,4.5,78648.64,27382.24,34.82,78.65
ORD-00058,Store_Delta,Home & Garden,Furniture,Hyderabad,South,Monsoon,42,2238.81,1084.67,1240.88,30,0,5000,36,3.8,67996.81,22440.67,33.0,68.0
ORD-00059,Store_Gamma,Home & Garden,Tools,Delhi,North,Monsoon,39,1941.62,1336.03,3624.8,20,1,2000,15,4.3,73861.78,21756.61,29.46,73.86
ORD-00060,Store_Beta,Home & Garden,Plants,Hyderabad,South,Monsoon,48,830.01,489.64,355.17,30,0,2000,5,4.2,24721.1,1218.38,4.93,24.72
ORD-00061,Store_Alpha,Home & Garden,Plants,Mumbai,West,Summer,52,1496.76,320.84,2486.24,30,0,3500,19,4.1,60954.25,44270.57,72.63,60.95
ORD-00062,Store_Beta,Sports,Outdoor,Mumbai,West,Monsoon,41,1380.34,948.19,4609.12,15,0,5000,8,3.6,69566.24,30690.45,44.12,69.57
ORD-00063,Store_Delta,Grocery,Dairy,Ahmedabad,West,Festive,37,2081.64,380.59,4675.96,10,0,8000,8,3.9,72460.4,58378.57,80.57,72.46
ORD-00064,Store_Gamma,Toys,Puzzles,Mumbai,West,Festive,48,50.0,295.63,3368.13,20,1,3500,32,3.4,13890.49,-299.75,-2.16,13.89
ORD-00065,Store_Gamma,Electronics,Phones,Ahmedabad,West,Festive,40,1867.72,1289.58,3944.96,15,1,3500,14,3.8,82671.09,31087.89,37.6,82.67
ORD-00066,Store_Gamma,Home & Garden,Decor,Mumbai,West,Monsoon,34,1039.49,900.14,1303.72,0,0,1000,15,3.1,38181.99,7577.23,19.85,38.18
ORD-00067,Store_Delta,Clothing,Kids,Mumbai,West,Winter,45,754.06,811.4,3646.0,10,0,3500,27,3.3,48131.6,11618.6,24.14,48.13
ORD-00068,Store_Epsilon,Home & Garden,Decor,Mumbai,West,Winter,57,736.92,819.71,4021.16,10,1,8000,7,3.6,59401.08,12677.61,21.34,59.4
ORD-00069,Store_Epsilon,Clothing,Accessories,Delhi,North,Festive,51,420.06,757.54,6083.7,25,1,2000,43,3.2,19279.27,-19355.27,-100.39,19.28
ORD-00070,Store_Beta,Toys,Puzzles,Chennai,South,Summer,56,831.53,1286.9,2252.14,30,1,5000,43,3.5,39543.38,-32523.02,-82.25,39.54
ORD-00071,Store_Epsilon,Toys,Puzzles,Ahmedabad,West,Winter,53,552.16,194.15,3019.56,30,0,1000,21,3.7,35064.25,24774.3,70.65,35.06
ORD-00072,Store_Epsilon,Toys,Educational,Hyderabad,South,Monsoon,31,1308.13,177.59,3093.74,5,1,5000,26,4.0,53931.17,48425.88,89.79,53.93
ORD-00073,Store_Gamma,Clothing,Kids,Mumbai,West,Winter,39,1553.96,425.45,3838.3,30,0,2000,31,4.4,38989.84,22397.29,57.44,38.99
ORD-00074,Store_Gamma,Home & Garden,Decor,Delhi,North,Festive,41,1046.06,915.66,4056.61,30,0,3500,20,3.5,29555.22,-7986.84,-27.02,29.56
ORD-00075,Store_Beta,Toys,Puzzles,Delhi,North,Summer,38,2099.83,1522.14,4273.1,30,0,8000,20,4.6,67893.08,10051.76,14.81,67.89
ORD-00076,Store_Alpha,Sports,Fitness,Delhi,North,Winter,44,870.95,1147.63,4185.55,25,0,1000,44,4.4,42974.96,-7520.76,-17.5,42.97
ORD-00077,Store_Beta,Clothing,Women,Ahmedabad,West,Winter,49,1014.68,1036.98,1222.66,0,1,8000,7,4.1,64125.98,13313.96,20.76,64.13
ORD-00078,Store_Beta,Clothing,Kids,Chennai,South,Festive,41,916.24,768.05,0.0,30,1,8000,37,3.9,52672.62,21182.57,40.22,52.67
ORD-00079,Store_Delta,Home & Garden,Plants,Ahmedabad,West,Summer,47,1559.17,266.99,2382.75,25,1,8000,46,4.0,78868.27,66319.74,84.09,78.87
ORD-00080,Store_Delta,Clothing,Kids,Hyderabad,South,Summer,48,1619.74,1006.0,2957.5,10,0,8000,6,4.5,72461.17,24173.17,33.36,72.46
ORD-00081,Store_Beta,Clothing,Accessories,Chennai,South,Festive,48,1497.22,1610.39,2264.08,25,0,2000,43,4.5,50770.39,-26528.33,-52.25,50.77
ORD-00082,Store_Beta,Toys,Board Games,Bangalore,South,Monsoon,39,1125.53,703.98,2448.36,30,0,8000,31,4.6,26600.43,-854.79,-3.21,26.6
ORD-00083,Store_Beta,Home & Garden,Furniture,Kolkata,East,Winter,38,395.63,575.73,2596.5,15,0,8000,19,3.8,19356.97,-2520.77,-13.02,19.36
ORD-00084,Store_Epsilon,Toys,Educational,Delhi,North,Monsoon,49,1008.34,705.9,3692.93,25,1,2000,11,4.1,47949.8,13360.7,27.86,47.95
ORD-00085,Store_Delta,Toys,Puzzles,Ahmedabad,West,Winter,43,2086.88,1039.9,1759.57,20,0,5000,49,4.6,87817.98,43102.28,49.08,87.82
ORD-00086,Store_Beta,Home & Garden,Furniture,Bangalore,South,Winter,41,1807.94,844.69,2906.61,0,0,2000,46,3.4,90215.95,55583.66,61.61,90.22
ORD-00087,Store_Gamma,Electronics,Tablets,Pune,West,Monsoon,43,1376.43,1164.01,2915.79,0,0,3500,13,3.6,68624.71,18572.28,27.06,68.62
ORD-00088,Store_Gamma,Toys,Board Games,Ahmedabad,West,Festive,37,969.33,786.62,3665.64,10,1,2000,45,3.8,36414.85,7309.91,20.07,36.41
ORD-00089,Store_Epsilon,Sports,Outdoor,Mumbai,West,Festive,36,1191.83,703.6,4394.29,25,0,5000,10,4.3,33393.09,8063.49,24.15,33.39
ORD-00090,Store_Epsilon,Sports,Cricket,Kolkata,East,Winter,41,972.0,891.6,5020.93,10,0,3500,16,4.3,53443.62,16888.02,31.6,53.44
ORD-00091,Store_Alpha,Clothing,Kids,Mumbai,West,Festive,33,1915.83,584.14,2104.81,10,1,3500,34,3.7,69777.87,50501.25,72.37,69.78
ORD-00092,Store_Alpha,Sports,Football,Chennai,South,Winter,53,696.62,1496.31,600.03,15,0,1000,24,2.9,41259.91,-38044.52,-92.21,41.26
ORD-00093,Store_Alpha,Clothing,Kids,Kolkata,East,Festive,49,1754.2,1129.25,2709.69,5,1,8000,24,3.9,109933.88,54600.63,49.67,109.93
ORD-00094,Store_Epsilon,Electronics,Tablets,Ahmedabad,West,Winter,53,882.48,360.12,1093.66,10,0,3500,31,3.2,44148.53,25062.17,56.77,44.15
ORD-00095,Store_Epsilon,Home & Garden,Plants,Hyderabad,South,Festive,39,1992.56,501.7,6281.49,5,0,3500,24,2.9,77623.92,58057.62,74.79,77.62
ORD-00096,Store_Epsilon,Home & Garden,Furniture,Bangalore,South,Summer,40,1456.07,1026.13,1952.54,5,1,5000,11,3.0,71338.18,30292.98,42.46,71.34
ORD-00097,Store_Gamma,Home & Garden,Plants,Hyderabad,South,Monsoon,38,750.37,873.33,3676.6,0,0,3500,44,4.0,35546.14,2359.6,6.64,35.55
ORD-00098,Store_Epsilon,Sports,Fitness,Ahmedabad,West,Summer,44,1014.41,921.0,4120.88,20,0,5000,44,4.6,50148.86,9624.86,19.19,50.15
ORD-00099,Store_Gamma,Electronics,Laptops,Chennai,South,Monsoon,36,1626.98,723.15,3408.75,20,0,8000,34,3.8,44884.26,18850.86,42.0,44.88
ORD-00100,Store_Alpha,Sports,Fitness,Mumbai,West,Monsoon,32,900.51,982.07,5492.06,25,0,1000,12,3.9,27747.8,-3678.44,-13.26,27.75
ORD-00101,Store_Alpha,Sports,Fitness,Kolkata,East,Winter,44,1213.28,732.56,2757.02,15,0,1000,6,4.5,49870.79,17638.15,35.37,49.87
ORD-00102,Store_Alpha,Electronics,Laptops,Hyderabad,South,Monsoon,54,892.23,1025.35,1998.14,15,0,8000,18,2.9,49251.99,-6116.91,-12.42,49.25
ORD-00103,Store_Beta,Electronics,Phones,Ahmedabad,West,Summer,44,2255.47,1109.21,1936.05,20,1,8000,14,4.1,94877.04,46071.8,48.56,94.88
ORD-00104,Store_Beta,Electronics,Cameras,Hyderabad,South,Summer,53,2358.64,1442.7,3900.01,25,1,2000,22,3.8,112512.38,36049.28,32.04,112.51
ORD-00105,Store_Delta,Electronics,Phones,Ahmedabad,West,Festive,36,2077.87,594.12,2772.24,30,0,3500,22,4.1,61912.41,40524.09,65.45,61.91
ORD-00106,Store_Delta,Home & Garden,Decor,Mumbai,West,Summer,48,1125.38,795.55,1936.21,20,0,3500,20,3.5,33975.31,-4211.09,-12.39,33.98
ORD-00107,Store_Delta,Grocery,Beverages,Kolkata,East,Festive,41,958.35,312.41,3529.57,25,0,3500,9,3.3,45043.46,32234.65,71.56,45.04
ORD-00108,Store_Beta,Grocery,Packaged,Bangalore,South,Monsoon,40,732.5,1530.5,3851.1,25,0,5000,35,3.9,26504.24,-34715.76,-130.98,26.5
ORD-00109,Store_Beta,Electronics,Laptops,Mumbai,West,Summer,42,2121.43,30.0,3325.57,25,0,2000,41,4.8,59433.15,58173.15,97.88,59.43
ORD-00110,Store_Delta,Grocery,Dairy,Hyderabad,South,Monsoon,45,1758.43,1473.15,4079.52,25,0,3500,24,4.3,61622.93,-4668.82,-7.58,61.62
ORD-00111,Store_Delta,Grocery,Dairy,Bangalore,South,Summer,35,1787.26,837.39,3105.72,0,0,5000,27,3.5,70245.67,40937.02,58.28,70.25
ORD-00112,Store_Epsilon,Electronics,Laptops,Ahmedabad,West,Summer,45,1050.04,967.37,2287.65,0,0,5000,36,3.0,46421.67,2890.02,6.23,46.42
ORD-00113,Store_Delta,Grocery,Packaged,Bangalore,South,Festive,52,145.26,733.73,3973.68,20,0,1000,46,2.8,12163.57,-25990.39,-213.67,12.16
ORD-00114,Store_Epsilon,Sports,Outdoor,Ahmedabad,West,Monsoon,50,283.23,812.44,1931.89,25,1,5000,21,4.6,22094.87,-18527.13,-83.85,22.09
ORD-00115,Store_Gamma,Clothing,Kids,Mumbai,West,Summer,49,1234.58,1035.23,1645.34,10,1,8000,17,3.2,68906.71,18180.44,26.38,68.91
ORD-00116,Store_Beta,Clothing,Kids,Hyderabad,South,Winter,39,886.4,145.34,4387.14,25,0,5000,17,3.6,25011.45,19343.19,77.34,25.01
ORD-00117,Store_Delta,Electronics,Phones,Chennai,South,Monsoon,50,817.38,539.15,2582.58,10,1,8000,21,4.6,47459.62,20502.12,43.2,47.46
ORD-00118,Store_Beta,Home & Garden,Furniture,Hyderabad,South,Monsoon,39,1407.09,461.98,4998.82,0,0,8000,19,2.8,73693.46,55676.24,75.55,73.69
ORD-00119,Store_Beta,Electronics,Laptops,Ahmedabad,West,Monsoon,56,1808.2,978.96,4027.91,25,1,1000,30,4.7,114452.88,59631.12,52.1,114.45
ORD-00120,Store_Beta,Home & Garden,Plants,Delhi,North,Festive,39,779.26,801.75,2491.39,5,0,1000,48,3.6,16449.26,-14818.99,-90.09,16.45
ORD-00121,Store_Gamma,Clothing,Accessories,Kolkata,East,Winter,40,416.63,1047.24,3583.47,20,1,5000,32,3.1,30768.63,-11120.97,-36.14,30.77
ORD-00122,Store_Alpha,Electronics,Tablets,Pune,West,Monsoon,33,793.52,865.91,6034.06,25,0,1000,46,3.7,30691.89,2116.86,6.9,30.69
ORD-00123,Store_Delta,Toys,Puzzles,Chennai,South,Summer,50,573.62,1223.44,3905.13,15,0,1000,49,3.4,37628.41,-23543.59,-62.57,37.63
ORD-00124,Store_Alpha,Sports,Cricket,Bangalore,South,Summer,51,1555.7,503.89,3698.04,10,0,3500,34,4.1,72549.78,46851.39,64.58,72.55
ORD-00125,Store_Alpha,Grocery,Packaged,Chennai,South,Festive,41,1197.53,823.26,2286.33,30,0,5000,47,3.4,23652.5,-10101.16,-42.71,23.65
ORD-00126,Store_Alpha,Home & Garden,Plants,Kolkata,East,Summer,40,2328.29,1243.75,5213.47,30,0,5000,39,2.7,77688.24,27938.24,35.96,77.69
ORD-00127,Store_Beta,Toys,Action,Bangalore,South,Monsoon,54,1640.81,1163.73,4581.53,25,0,5000,26,3.7,65797.28,2955.86,4.49,65.8
ORD-00128,Store_Epsilon,Grocery,Packaged,Kolkata,East,Summer,53,2288.31,208.14,2297.33,5,1,1000,14,3.0,136360.17,125328.75,91.91,136.36
ORD-00129,Store_Beta,Grocery,Fresh,Bangalore,South,Monsoon,46,357.67,391.56,5256.5,10,0,1000,15,3.9,12145.08,-5866.68,-48.3,12.15
ORD-00130,Store_Beta,Electronics,Phones,Chennai,South,Summer,36,50.0,767.28,3197.7,5,0,8000,42,3.1,11313.86,-16308.22,-144.14,11.31
ORD-00131,Store_Alpha,Grocery,Packaged,Bangalore,South,Winter,55,1345.8,706.07,1991.54,30,0,2000,37,3.5,55916.23,17082.38,30.55,55.92
ORD-00132,Store_Beta,Sports,Fitness,Bangalore,South,Festive,36,1273.93,773.83,2281.78,20,1,2000,10,3.9,55543.88,27686.0,49.85,55.54
ORD-00133,Store_Alpha,Toys,Board Games,Delhi,North,Festive,38,1126.33,1118.48,4053.24,30,1,2000,41,3.7,48882.93,6380.69,13.05,48.88
ORD-00134,Store_Epsilon,Grocery,Fresh,Hyderabad,South,Winter,32,1257.48,915.75,1999.8,20,1,3500,11,4.0,39871.59,10567.59,26.5,39.87
ORD-00135,Store_Delta,Electronics,Cameras,Hyderabad,South,Winter,42,525.58,939.08,1676.26,20,0,1000,48,4.2,19610.09,-19831.27,-101.13,19.61
ORD-00136,Store_Alpha,Sports,Football,Pune,West,Festive,50,1537.91,1068.25,2473.35,0,0,8000,16,3.1,76514.02,23101.52,30.19,76.51
ORD-00137,Store_Epsilon,Clothing,Accessories,Pune,West,Winter,53,1641.72,1229.67,2652.58,30,0,8000,11,3.8,63204.06,-1968.45,-3.11,63.2
ORD-00138,Store_Delta,Toys,Puzzles,Ahmedabad,West,Monsoon,41,480.15,30.0,2192.02,30,0,2000,6,1.8,9330.3,8100.3,86.82,9.33
ORD-00139,Store_Gamma,Grocery,Fresh,Ahmedabad,West,Summer,49,987.82,645.35,2455.27,5,0,3500,5,3.9,52789.8,21167.65,40.1,52.79
ORD-00140,Store_Alpha,Electronics,Laptops,Ahmedabad,West,Festive,41,1024.88,446.81,4100.32,25,0,3500,27,3.6,46266.51,27947.3,60.41,46.27
ORD-00141,Store_Alpha,Clothing,Women,Delhi,North,Winter,50,797.51,990.13,3307.8,15,0,2000,29,3.2,32322.97,-17183.53,-53.16,32.32
ORD-00142,Store_Gamma,Clothing,Men,Pune,West,Monsoon,54,503.33,615.16,2381.23,15,0,2000,22,4.0,36924.85,3706.21,10.04,36.92
ORD-00143,Store_Gamma,Home & Garden,Tools,Kolkata,East,Festive,38,1207.5,830.34,2486.58,20,0,1000,48,4.5,41346.04,9793.12,23.69,41.35
ORD-00144,Store_Alpha,Sports,Cricket,Ahmedabad,West,Winter,50,1356.48,1140.86,2842.01,15,1,3500,11,3.5,78254.65,21211.65,27.11,78.25
ORD-00145,Store_Gamma,Grocery,Beverages,Ahmedabad,West,Festive,44,833.89,558.81,2910.7,10,0,8000,7,3.2,23792.66,-794.98,-3.34,23.79
ORD-00146,Store_Beta,Electronics,Phones,Chennai,South,Winter,39,545.53,945.13,2915.78,5,1,2000,33,3.9,15180.43,-21679.64,-142.81,15.18
ORD-00147,Store_Delta,Home & Garden,Furniture,Mumbai,West,Festive,53,1446.33,1421.53,4056.3,5,0,1000,14,3.0,80060.1,4719.01,5.89,80.06
ORD-00148,Store_Delta,Sports,Outdoor,Kolkata,East,Monsoon,45,739.61,1132.65,3236.45,5,0,8000,47,3.4,42790.86,-8178.39,-19.11,42.79
ORD-00149,Store_Delta,Home & Garden,Furniture,Ahmedabad,West,Monsoon,60,1014.48,165.69,3271.75,10,0,3500,9,4.5,54318.5,44377.1,81.7,54.32
ORD-00150,Store_Beta,Toys,Puzzles,Ahmedabad,West,Summer,44,938.35,683.3,4712.14,25,1,2000,38,3.8,59135.9,29070.7,49.16,59.14
ORD-00151,Store_Gamma,Sports,Fitness,Ahmedabad,West,Festive,49,1947.43,942.33,5251.98,0,0,2000,12,2.7,109181.53,63007.36,57.71,109.18
ORD-00152,Store_Epsilon,Sports,Outdoor,Mumbai,West,Summer,44,767.14,1021.11,1522.83,10,1,1000,18,2.7,32990.94,-11937.9,-36.19,32.99
ORD-00153,Store_Gamma,Grocery,Beverages,Mumbai,West,Festive,48,2235.32,699.06,1105.31,5,0,1000,44,3.9,103835.35,70280.47,67.68,103.84
ORD-00154,Store_Alpha,Sports,Outdoor,Delhi,North,Winter,48,1651.38,544.08,2580.71,5,0,3500,10,4.3,98989.43,72873.59,73.62,98.99
ORD-00155,Store_Delta,Home & Garden,Decor,Kolkata,East,Winter,43,2292.54,827.11,3939.75,30,0,2000,5,2.8,64974.57,29408.84,45.26,64.97
ORD-00156,Store_Gamma,Sports,Football,Delhi,North,Summer,39,1598.78,365.25,3451.18,5,0,1000,37,4.1,68637.73,54392.98,79.25,68.64
ORD-00157,Store_Epsilon,Grocery,Packaged,Bangalore,South,Festive,60,1067.37,1239.89,4264.92,25,1,2000,44,4.6,63854.99,-10538.41,-16.5,63.85
ORD-00158,Store_Alpha,Grocery,Packaged,Mumbai,West,Summer,50,649.58,1547.47,2529.16,15,0,3500,15,4.9,37056.06,-40317.44,-108.8,37.06
ORD-00159,Store_Beta,Toys,Action,Chennai,South,Monsoon,53,986.75,957.88,651.95,0,0,2000,28,4.0,63413.86,12646.22,19.94,63.41
ORD-00160,Store_Beta,Home & Garden,Furniture,Pune,West,Summer,49,2092.37,707.02,1359.86,10,1,8000,14,4.1,114291.79,79647.81,69.69,114.29
ORD-00161,Store_Epsilon,Clothing,Accessories,Chennai,South,Summer,52,1171.24,1176.36,3677.68,5,1,2000,48,2.5,86791.89,25621.17,29.52,86.79
ORD-00162,Store_Alpha,Clothing,Men,Pune,West,Winter,47,1596.55,1108.77,4274.1,30,0,5000,27,5.0,76707.27,24595.08,32.06,76.71
